Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,"Number of patients in ICU, testing positive for COVID-19","Number of patients in ICU, testing negative for COVID-19",Number of patients in ICU on a ventilator due to COVID-19,Num. of patients in ICU on a ventilator testing positive,Num. of patients in ICU on a ventilator testing negative,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths,Total_Lineage_B.1.1.7,Total_Lineage_B.1.351,Total_Lineage_P.1,New cases,Exposed
20/03/2021,,,,13810,306050,7223,327083,12033515,52083,3.6,28020,765,335,302,33,208,189,19,15000,6771,3889,10,1230,47,35,557,11787
21/03/2021,,,,14230,307403,7241,328874,12082748,49233,3.7,19486,760,340,305,35,206,186,20,15005,6776,3891,10,1287,47,36,420,12517
22/03/2021,,,,14751,308578,7244,330573,12113837,31089,5.4,14407,813,331,298,33,206,186,20,15009,6782,3891,10,1340,48,36,521,12560
23/03/2021,,,,15017,309849,7253,332119,12146393,32556,5.7,31325,868,357,324,33,208,193,15,15010,6784,3892,10,1359,47,37,266,12472
24/03/2021,,,,15047,311380,7263,333690,12198355,51962,3.8,38985,893,363,333,30,228,210,18,15015,6789,3892,10,1389,50,47,30,12952
25/03/2021,,,,16081,312709,7280,336070,12258432,60077,3.8,36916,894,360,332,28,227,212,15,15017,6795,3892,10,1458,51,54,1034,13600
26/03/2021,,,,16563,314384,7292,338239,12311868,53436,3.8,37364,913,384,359,25,226,215,11,15021,6801,3892,10,1494,60,58,482,14108
27/03/2021,,,,17519,315865,7308,340692,12372873,61005,4.5,33065,985,392,365,27,201,192,9,15025,6809,3893,10,1523,63,61,956,15469
28/03/2021,,,,18405,317408,7327,343140,12423100,50227,4.5,25452,917,393,366,27,227,217,10,15029,6811,3893,10,1625,63,67,886,16447
29/03/2021,,,,18965,318932,7337,345234,12462570,39470,6.1,17716,841,409,382,27,246,236,10,15030,6816,3893,10,1749,63,82,560,16694
30/03/2021,,,,19810,320409,7351,347570,12498641,36071,6.2,35066,1090,411,387,24,257,249,8,15037,6819,3897,10,1800,69,90,845,17116
31/03/2021,,,,20155,322382,7366,349903,12551173,52532,4.8,40446,1111,424,396,28,261,252,9,15044,6820,3901,10,1898,70,92,345,18709
01/04/2021,,,,20875,324196,7389,352460,12613463,62290,4.8,42057,1116,433,406,27,259,250,9,15047,6819,3901,10,1953,67,96,720,19581
02/04/2021,,,,22016,326121,7412,355549,12675796,62333,4.6,39233,1162,435,408,27,271,261,10,15051,6824,3901,10,2022,70,103,1141,20933
